SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SACHEEROME,Sacheerome Limited,SM,16-Jun-25,10,INE1ARD01016,10,
GANGABATH,Ganga Bath Fittings Limited,ST,11-Jun-25,10,INE0ZI101018,10,
NRVANDANA,N R Vandana Tex Industries Limited,SM,04-Jun-25,10,INE104101014,10,
NEPTUNE,Neptune Petrochemicals Limited,ST,04-Jun-25,10,INE156901014,10,
NIKITA,NIKITA GREENTECH RECYCLING LIMITED,SM,03-Jun-25,10,INE0FLF01015,10,
BLUEWATER,Blue Water Logistics Limited,ST,03-Jun-25,10,INE0X3M01010,10,
DCCL,Dar Credit & Capital Limited,SM,28-May-25,10,INE04Q901010,10,
ACCPL,Accretion Pharmaceuticals Limited,ST,21-May-25,10,INE0T8T01010,10,
INTEGRITY,Integrity Infrabuild Developers Limited,SM,20-May-25,10,INE0YSH01017,10,
VGINFOTECH,Virtual Galaxy Infotech Limited,SM,19-May-25,10,INE0VRH01015,10,
ARUNAYA,Arunaya Organics Limited,SM,07-May-25,10,INE0TTG01017,10,
IWARE,Iware Supplychain Services Limited,ST,06-May-25,10,INE1AII01014,10,
TANKUP,Tankup Engineers Limited,SM,30-Apr-25,10,INE0Z7N01017,10,
SHRIAHIMSA,Shri Ahimsa Naturals Limited,SM,02-Apr-25,10,INE0DM401012,10,
ATCENERGY,ATC Energies System Limited,ST,02-Apr-25,10,INE0V0Q01019,10,
RAPIDFLEET,Rapid Fleet Management Services Limited,SM,28-Mar-25,10,INE0QX901013,10,
ACTIVEINFR,Active Infrastructures Limited,SM,28-Mar-25,5,INE0KLO01025,5,
GCHOTELS,Grand Continent Hotels Limited,SM,27-Mar-25,10,INE12E301017,10,
DIVINEHIRA,Divine Hira Jewellers Limited,ST,24-Mar-25,10,INE0NA501011,10,
BALAJIPHOS,Balaji Phosphates Limited,SM,07-Mar-25,10,INE0PQ601019,10,
HPTL,HP Telecom India Limited,SM,28-Feb-25,10,INE0VA601019,10,
ROYALARC,Royal Arc Electrodes Limited,SM,24-Feb-25,10,INE0EO401019,10,
TEJASCARGO,Tejas Cargo India Limited,SM,24-Feb-25,10,INE17WC01013,10,
VOLERCAR,Voler Car Limited,SM,19-Feb-25,10,INE241X01014,10,
PSRAJ,P S Raj Steels Limited,SM,19-Feb-25,10,INE0XUS01012,10,
MAXVOLT,Maxvolt Energy Industries Limited,ST,19-Feb-25,10,INE10A501018,10,
CHANDAN,Chandan Healthcare Limited,SM,17-Feb-25,10,INE0B2N01016,10,
ELGNZ,Eleganz Interiors Limited,SM,14-Feb-25,10,INE0R9101015,10,
READYMIX,Readymix Construction Machinery Limited,SM,13-Feb-25,10,INE10QL01011,10,
KEN,Ken Enterprises Limited,SM,12-Feb-25,10,INE15DO01012,10,
CHAMUNDA,Chamunda Electrical Limited,SM,11-Feb-25,10,INE11HG01018,10,
REXPRO,Rexpro Enterprises Limited,SM,29-Jan-25,10,INE113601012,10,
EMAPARTNER,EMA Partners India Limited,SM,24-Jan-25,5,INE0ZOL01023,5,
KKJEWELS,Kabra Jewels Limited,SM,22-Jan-25,10,INE0XOW01017,10,
BARFLEX,Barflex Polyfilms Limited,SM,20-Jan-25,10,INE0QX401014,10,
SATKARTAR,Sat Kartar Life Limited,ST,17-Jan-25,10,INE0NB801022,10,
DELTIC,Delta Autocorp Limited,ST,14-Jan-25,10,INE0XRN01019,10,
ANYA,Anya Polytech & Fertilizers Limited,SM,02-Jan-25,2,INE0SI601032,2,
NMSTEEL,Newmalayalam Steel Limited,SM,27-Dec-24,10,INE0TP801012,10,
IDENTICAL,Identical Brains Studios Limited,ST,26-Dec-24,10,INE0TD101011,10,
PURPLEUTED,Purple United Sales Limited,SM,18-Dec-24,10,INE0P5R01014,10,
SFML,Supreme Facility Management Limited,SM,18-Dec-24,10,INE0U6N01014,10,
DHANLAXMI,Dhanlaxmi Crop Science Limited,SM,16-Dec-24,10,INE0V9V01010,10,
ETML,Emerald Tyre Manufacturers Limited,SM,12-Dec-24,10,INE0RHD01013,10,
GANESHIN,Ganesh Infraworld Limited,ST,06-Dec-24,5,INE0TVT01024,5,
AGARWALTUF,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10,
ABHAPOWER,Abha Power and Steel Limited,SM,04-Dec-24,10,INE0UYG01015,10,
APEXECO,Apex Ecotech Limited,ST,04-Dec-24,10,INE0T4V01015,10,
RAJPUTANA,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10,
C2C,C2C Advanced Systems Limited,SM,03-Dec-24,10,INE0U7V01015,10,
ITTL,Innovative Tyres & Tubes Limited,ST,02-Dec-24,10,INE070Y01023,10,
LAMOSAIC,Lamosaic India Limited,SM,29-Nov-24,10,INE0R0201012,10,
ONYX,Onyx Biotec Limited,SM,22-Nov-24,10,INE0WVU01018,10,
NEELAM,Neelam Linens and Garments (India) Limited,SM,18-Nov-24,10,INE0N1401016,10,
USHAFIN,Usha Financial Services Limited,SM,31-Oct-24,10,INE0LS001014,10,
OBSCP,OBSC Perfection Limited,SM,29-Oct-24,10,INE0YHV01011,10,
DANISH,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10,
UHTL,United Heat Transfer Limited,SM,29-Oct-24,10,INE0SMR01011,10,
PREMIUM,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10,
FRESHARA,Freshara Agro Exports Limited,ST,24-Oct-24,10,INE0SFW01015,10,
LAKSHYA,Lakshya Powertech Limited,ST,23-Oct-24,10,INE0VZS01015,10,
PRANIK,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10,
PARAMOUNT,Paramount Dye Tec Limited,SM,08-Oct-24,10,INE0TG801013,10,
SAJHOTELS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10,
HVAX,HVAX Technologies Limited,SM,07-Oct-24,10,INE0TO501019,10,
DIVYADHAN,Divyadhan Recycling Industries Limited,ST,04-Oct-24,10,INE0QYI01019,10,
SAHASRA,Sahasra Electronic Solutions Limited,SM,04-Oct-24,10,INE0RBQ01018,10,
FORGEAUTO,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10,
THESL,Thinking Hats Entertainment Solutions Limited,SM,03-Oct-24,10,INE0SHE01019,10,
TECHERA,TechEra Engineering (India) Limited,SM,03-Oct-24,10,INE0JQS01019,10,
UNILEX,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10,
WOL3D,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10,
RAPPID,Rappid Valves (India) Limited,SM,30-Sep-24,10,INE0MVO01012,10,
AVIANSH,Avi Ansh Textile Limited,SM,27-Sep-24,10,INE0TFB01017,10,
BIKEWO,Bikewo Green Tech Limited,SM,27-Sep-24,10,INE0SQH01013,10,
SDREAMS,S D Retail Limited,SM,27-Sep-24,10,INE0X6F01017,10,
PHOGLOBAL,Phoenix Overseas Limited,SM,27-Sep-24,10,INE0FPO01018,10,
KALANA,Kalana Ispat Limited,ST,26-Sep-24,10,INE0T0L01014,10,
PSFL,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10,
PELATRO,Pelatro Limited,SM,24-Sep-24,10,INE0VG601013,10,
OSELDEVICE,Osel Devices Limited,SM,24-Sep-24,10,INE0RMF01018,10,
DECCANTRAN,Deccan Transcon Leasing Limited,SM,24-Sep-24,10,INE0S7C01019,10,
ENVIRO,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10,
EXCELLENT,Excellent Wires and Packaging Limited,ST,19-Sep-24,10,INE0Y4801011,10,
INNOMET,Innomet Advanced Materials Limited,ST,18-Sep-24,10,INE0S1D01010,10,
SPPPOLY,SPP Polymer Limited,SM,17-Sep-24,10,INE0QR801013,10,
SHUBHSHREE,Shubhshree Biofuels Energy Limited,SM,16-Sep-24,10,INE0UL701015,10,
GAJANAND,Gajanand International Limited,SM,16-Sep-24,10,INE0QTE01018,10,
AUSL,Aditya Ultra Steel Limited,SM,16-Sep-24,10,INE01YQ01013,10,
